gender,type,age,2000,2000,2000,2001,2001,2001,2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012
,,,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop
Male and female,All,00 years,0,0,"373,594",0,0,"388,714",0,0,"381,527",0,0,"383,429",0,0,"385,513",0,0,"381,293",0,0,"388,143",0,0,"396,612",0,0,"391,622",0,0,"384,371",0,0,"378,637",0,0,"379,009",0,0,"376,975"
Male and female,All,01-04 years,0,0,"1,471,029",0,0,"1,467,319",0,0,"1,479,125",0,0,"1,487,176",0,0,"1,497,223",0,0,"1,510,331",0,0,"1,513,954",0,0,"1,525,547",0,0,"1,542,431",0,0,"1,548,930",0,0,"1,550,521",0,0,"1,546,265",0,0,"1,537,196"
Male and female,All,05-09 years,0,0,"1,943,950",0,0,"1,910,547",0,0,"1,876,060",0,0,"1,845,748",0,0,"1,829,702",0,0,"1,823,460",0,0,"1,841,928",0,0,"1,859,344",0,0,"1,884,209",0,0,"1,914,944",0,0,"1,931,941",0,0,"1,936,963",0,0,"1,952,945"
Male and female,All,10-14 years,0,0,"1,939,331",0,0,"1,970,759",0,0,"1,992,626",0,0,"2,002,310",0,0,"1,997,895",0,0,"1,975,034",0,0,"1,958,007",0,0,"1,941,840",0,0,"1,930,808",0,0,"1,930,836",0,0,"1,935,746",0,0,"1,944,311",0,0,"1,945,710"
Male and female,All,15-19 years,0.1,1,"1,873,008",0,0,"1,884,372",0.1,1,"1,890,287",0,0,"1,901,028",0,0,"1,921,074",0,0,"1,953,822",0,0,"1,986,372",0,0,"2,009,943",0,0,"2,024,649",0,0,"2,023,036",0,0,"2,004,668",0.1,1,"1,981,861",0,0,"1,962,866"
Male and female,All,20-24 years,0.1,1,"1,805,192",0.1,2,"1,857,169",0.1,1,"1,890,284",0,0,"1,911,342",0,0,"1,920,239",0.1,1,"1,923,651",0.1,2,"1,930,280",0.1,1,"1,921,010",0,0,"1,931,453",0.1,2,"1,949,019",0,0,"1,969,238",0,0,"2,013,632",0,0,"2,056,564"
Male and female,All,25-29 years,0.2,3,"1,924,475",0.1,2,"1,879,912",0.1,1,"1,851,051",0.4,7,"1,842,649",0.3,6,"1,856,499",0.1,2,"1,886,831",0.3,6,"1,947,999",0.4,8,"1,991,401",0.2,4,"2,031,083",0.2,4,"2,049,081",0.4,9,"2,046,052",0.2,4,"2,057,822",0.2,5,"2,063,415"
Male and female,All,30-34 years,0.9,19,"2,048,742",0.7,14,"2,069,099",0.7,15,"2,063,370",0.6,12,"2,031,371",0.8,15,"1,988,844",0.6,11,"1,937,643",1.2,22,"1,893,919",0.6,11,"1,881,348",0.5,10,"1,898,742",0.6,11,"1,933,883",0.4,7,"1,972,780",0.6,12,"2,019,495",1,20,"2,063,528"
Male and female,All,35-39 years,1,23,"2,205,639",1.1,23,"2,162,869",0.5,11,"2,106,448",0.7,15,"2,055,242",0.8,17,"2,016,199",0.9,18,"2,017,372",0.6,13,"2,037,163",0.9,19,"2,040,344",1.1,23,"2,025,661",0.8,16,"1,996,673",0.5,9,"1,952,536",0.8,16,"1,911,573",1.5,28,"1,909,785"
Male and female,All,40-44 years,1.8,40,"2,184,309",1.9,41,"2,202,912",1.1,25,"2,199,243",1.7,37,"2,189,555",1.8,40,"2,185,182",2,44,"2,158,258",1.7,35,"2,120,965",1.4,29,"2,077,298",1.1,22,"2,039,115",1.5,30,"2,009,771",1.2,25,"2,013,079",1.6,32,"2,032,032",1.2,24,"2,036,476"
Male and female,All,45-49 years,2.3,45,"1,971,231",2.2,44,"2,011,308",2.6,54,"2,053,262",2,42,"2,085,679",1.9,40,"2,106,869",2.4,52,"2,130,620",1.9,41,"2,151,329",1.7,37,"2,154,445",1.5,33,"2,152,326",2.2,48,"2,154,165",2.1,45,"2,130,774",2.2,45,"2,089,109",1.8,36,"2,050,506"
Male and female,All,50-54 years,3.3,57,"1,724,017",2.8,51,"1,806,424",2.8,51,"1,806,960",3.4,63,"1,835,644",3.3,61,"1,874,587",3.3,64,"1,914,251",2.9,56,"1,959,160",2.9,58,"2,008,619",3.3,68,"2,049,621",2.6,54,"2,078,543",2.8,60,"2,105,875",3.2,68,"2,120,874",3,63,"2,122,566"
Male and female,All,55-59 years,4.9,62,"1,264,209",3.9,51,"1,308,499",4.1,58,"1,423,315",4.2,63,"1,488,199",3.7,58,"1,561,625",3.1,51,"1,648,332",4.3,75,"1,731,263",3.7,65,"1,739,696",3.9,70,"1,776,197",3,55,"1,822,397",3,56,"1,868,876",3.6,68,"1,913,246",3.8,74,"1,960,343"
Male and female,All,60-64 years,5,48,"957,131",5,49,"982,301",5.3,54,"1,021,153",5.4,58,"1,082,654",5.8,66,"1,135,082",5.6,66,"1,179,616",3.3,41,"1,225,834",5,67,"1,339,356",4.6,64,"1,406,315",4.4,65,"1,484,572",5.2,81,"1,571,648",3.8,62,"1,651,061",4,66,"1,659,321"
Male and female,All,65-69 years,7.3,60,"819,940",7.6,62,"817,543",6.9,57,"822,126",6.3,53,"838,021",5.6,48,"858,243",5.8,51,"879,405",7.9,72,"906,067",6.8,64,"945,615",7,71,"1,007,562",5.1,54,"1,061,485",5,55,"1,108,796",5.8,67,"1,150,692",4.2,53,"1,255,898"
Male and female,All,70-74 years,9.3,72,"770,160",8.4,64,"763,832",7,53,"753,902",8.6,64,"743,843",8.6,63,"734,437",8.4,62,"733,854",9.1,67,"735,060",8,59,"741,111",8.5,64,"756,490",7.7,60,"777,206",9,72,"797,844",6.7,55,"823,664",8,69,"860,790"
Male and female,All,75-79 years,10.2,68,"665,591",12,80,"665,370",12.2,81,"663,240",12.2,81,"661,799",8.5,56,"655,703",9,59,"652,166",10.6,69,"649,584",9.9,64,"643,297",10.7,68,"636,374",9.2,58,"631,443",9.8,62,"631,734",10.2,65,"635,023",13.4,86,"641,962"
Male and female,All,80-84 years,13.2,60,"454,636",16.4,77,"469,587",12.6,61,"484,386",17.8,88,"493,746",14.3,72,"505,014",11.3,58,"512,864",11.6,60,"515,079",14.9,77,"516,309",13.7,71,"516,831",12.6,65,"515,177",11.3,58,"514,952",12.6,65,"514,696",13.1,67,"511,644"
Male and female,All,85+ years,31.2,122,"391,360",23.8,95,"399,651",25,102,"407,485",23.6,99,"419,258",27.5,118,"428,427",23.4,104,"444,057",21,97,"462,556",21.9,105,"479,742",18,89,"495,098",19.2,98,"511,573",20.4,108,"528,653",21.5,117,"543,657",17.9,100,"558,169"
Male and female,SCC,00 years,0,0,"373,594",0,0,"388,714",0,0,"381,527",0,0,"383,429",0,0,"385,513",0,0,"381,293",0,0,"388,143",0,0,"396,612",0,0,"391,622",0,0,"384,371",0,0,"378,637",0,0,"379,009",0,0,"376,975"
Male and female,SCC,01-04 years,0,0,"1,471,029",0,0,"1,467,319",0,0,"1,479,125",0,0,"1,487,176",0,0,"1,497,223",0,0,"1,510,331",0,0,"1,513,954",0,0,"1,525,547",0,0,"1,542,431",0,0,"1,548,930",0,0,"1,550,521",0,0,"1,546,265",0,0,"1,537,196"
Male and female,SCC,05-09 years,0,0,"1,943,950",0,0,"1,910,547",0,0,"1,876,060",0,0,"1,845,748",0,0,"1,829,702",0,0,"1,823,460",0,0,"1,841,928",0,0,"1,859,344",0,0,"1,884,209",0,0,"1,914,944",0,0,"1,931,941",0,0,"1,936,963",0,0,"1,952,945"
Male and female,SCC,10-14 years,0,0,"1,939,331",0,0,"1,970,759",0,0,"1,992,626",0,0,"2,002,310",0,0,"1,997,895",0,0,"1,975,034",0,0,"1,958,007",0,0,"1,941,840",0,0,"1,930,808",0,0,"1,930,836",0,0,"1,935,746",0,0,"1,944,311",0,0,"1,945,710"
Male and female,SCC,15-19 years,0,0,"1,873,008",0,0,"1,884,372",0,0,"1,890,287",0,0,"1,901,028",0,0,"1,921,074",0,0,"1,953,822",0,0,"1,986,372",0,0,"2,009,943",0,0,"2,024,649",0,0,"2,023,036",0,0,"2,004,668",0,0,"1,981,861",0,0,"1,962,866"
Male and female,SCC,20-24 years,0.1,1,"1,805,192",0.1,2,"1,857,169",0.1,1,"1,890,284",0,0,"1,911,342",0,0,"1,920,239",0.1,1,"1,923,651",0,0,"1,930,280",0.1,1,"1,921,010",0,0,"1,931,453",0.1,2,"1,949,019",0,0,"1,969,238",0,0,"2,013,632",0,0,"2,056,564"
Male and female,SCC,25-29 years,0.1,1,"1,924,475",0,0,"1,879,912",0.1,1,"1,851,051",0.3,6,"1,842,649",0.3,5,"1,856,499",0.1,2,"1,886,831",0.3,6,"1,947,999",0.2,4,"1,991,401",0.1,2,"2,031,083",0.1,2,"2,049,081",0.2,4,"2,046,052",0.1,2,"2,057,822",0.1,2,"2,063,415"
Male and female,SCC,30-34 years,0.6,12,"2,048,742",0.4,8,"2,069,099",0.4,9,"2,063,370",0.4,8,"2,031,371",0.6,11,"1,988,844",0.5,9,"1,937,643",0.8,15,"1,893,919",0.3,6,"1,881,348",0.5,9,"1,898,742",0.4,8,"1,933,883",0.3,5,"1,972,780",0.5,10,"2,019,495",0.5,11,"2,063,528"
Male and female,SCC,35-39 years,0.8,17,"2,205,639",0.6,14,"2,162,869",0.4,9,"2,106,448",0.5,11,"2,055,242",0.6,12,"2,016,199",0.7,14,"2,017,372",0.5,11,"2,037,163",0.6,12,"2,040,344",0.8,16,"2,025,661",0.6,11,"1,996,673",0.3,6,"1,952,536",0.7,13,"1,911,573",1,19,"1,909,785"
Male and female,SCC,40-44 years,1.3,28,"2,184,309",1.5,32,"2,202,912",0.7,16,"2,199,243",1.1,25,"2,189,555",1.1,25,"2,185,182",1.8,39,"2,158,258",1.2,26,"2,120,965",0.9,19,"2,077,298",0.8,16,"2,039,115",0.9,19,"2,009,771",0.8,17,"2,013,079",1.3,27,"2,032,032",0.9,18,"2,036,476"
Male and female,SCC,45-49 years,1.5,30,"1,971,231",1.6,32,"2,011,308",2,42,"2,053,262",1.6,33,"2,085,679",1.5,32,"2,106,869",1.8,38,"2,130,620",1.5,32,"2,151,329",1.2,26,"2,154,445",1,22,"2,152,326",1.5,33,"2,154,165",1.6,34,"2,130,774",1.4,30,"2,089,109",1.3,27,"2,050,506"
Male and female,SCC,50-54 years,2.1,37,"1,724,017",2,37,"1,806,424",2.3,41,"1,806,960",2.6,47,"1,835,644",2,38,"1,874,587",2.3,44,"1,914,251",2,40,"1,959,160",2.1,43,"2,008,619",2.4,49,"2,049,621",1.9,40,"2,078,543",2.2,46,"2,105,875",2.5,53,"2,120,874",2.1,44,"2,122,566"
Male and female,SCC,55-59 years,3.4,43,"1,264,209",2.6,34,"1,308,499",2.9,41,"1,423,315",3.2,47,"1,488,199",2.5,39,"1,561,625",2.2,37,"1,648,332",3.2,55,"1,731,263",2.4,42,"1,739,696",2.8,49,"1,776,197",2.2,41,"1,822,397",2.2,41,"1,868,876",2.6,49,"1,913,246",2.6,50,"1,960,343"
Male and female,SCC,60-64 years,3.9,37,"957,131",3.4,33,"982,301",3.9,40,"1,021,153",3.3,36,"1,082,654",4.6,52,"1,135,082",4,47,"1,179,616",2,24,"1,225,834",3.5,47,"1,339,356",3.1,43,"1,406,315",2.8,42,"1,484,572",3.6,57,"1,571,648",2.7,44,"1,651,061",2.6,43,"1,659,321"
Male and female,SCC,65-69 years,6.2,51,"819,940",5.6,46,"817,543",5.6,46,"822,126",4.2,35,"838,021",4.1,35,"858,243",4.4,39,"879,405",5.3,48,"906,067",5.9,56,"945,615",5.3,53,"1,007,562",2.4,26,"1,061,485",3.3,37,"1,108,796",3.9,45,"1,150,692",2.9,37,"1,255,898"
Male and female,SCC,70-74 years,6.9,53,"770,160",5.6,43,"763,832",6,45,"753,902",6.7,50,"743,843",5.7,42,"734,437",5.9,43,"733,854",7.3,54,"735,060",5.9,44,"741,111",6.2,47,"756,490",6.4,50,"777,206",6.4,51,"797,844",5.8,48,"823,664",5.1,44,"860,790"
Male and female,SCC,75-79 years,7.2,48,"665,591",8.6,57,"665,370",9.6,64,"663,240",10,66,"661,799",6.7,44,"655,703",7.4,48,"652,166",8.3,54,"649,584",6.5,42,"643,297",8.6,55,"636,374",7.3,46,"631,443",7.6,48,"631,734",7.6,48,"635,023",9.7,62,"641,962"
Male and female,SCC,80-84 years,10.1,46,"454,636",13.2,62,"469,587",10.3,50,"484,386",14,69,"493,746",10.5,53,"505,014",8.8,45,"512,864",8,41,"515,079",13,67,"516,309",10.6,55,"516,831",9.3,48,"515,177",8.5,44,"514,952",8.9,46,"514,696",9.8,50,"511,644"
Male and female,SCC,85+ years,24,94,"391,360",16,64,"399,651",17.9,73,"407,485",19.3,81,"419,258",20.1,86,"428,427",17.8,79,"444,057",15.8,73,"462,556",15.8,76,"479,742",12.7,63,"495,098",14.1,72,"511,573",16.1,85,"528,653",14.9,81,"543,657",12.9,72,"558,169"
  Male,All,00 years,0,0,"191,596",0,0,"198,292",0,0,"194,739",0,0,"196,240",0,0,"196,553",0,0,"194,954",0,0,"198,980",0,0,"203,376",0,0,"200,246",0,0,"196,297",0,0,"193,449",0,0,"193,700",0,0,"192,545"
  Male,All,01-04 years,0,0,"752,739",0,0,"751,286",0,0,"757,009",0,0,"759,616",0,0,"764,769",0,0,"769,968",0,0,"772,854",0,0,"779,694",0,0,"789,047",0,0,"793,377",0,0,"793,614",0,0,"790,606",0,0,"785,357"
  Male,All,05-09 years,0,0,"995,664",0,0,"978,158",0,0,"960,646",0,0,"944,894",0,0,"936,139",0,0,"933,559",0,0,"942,022",0,0,"950,731",0,0,"962,570",0,0,"977,428",0,0,"986,455",0,0,"989,793",0,0,"998,693"
  Male,All,10-14 years,0,0,"993,312",0,0,"1,009,645",0,0,"1,020,765",0,0,"1,026,214",0,0,"1,024,119",0,0,"1,011,774",0,0,"1,002,506",0,0,"994,611",0,0,"988,640",0,0,"987,907",0,0,"990,697",0,0,"994,391",0,0,"994,685"
  Male,All,15-19 years,0,0,"962,808",0,0,"970,231",0,0,"972,992",0,0,"977,129",0,0,"986,093",0,0,"1,002,680",0,0,"1,019,393",0,0,"1,031,193",0,0,"1,038,822",0,0,"1,037,634",0,0,"1,027,809",0,0,"1,016,677",0,0,"1,006,213"
  Male,All,20-24 years,0,0,"920,290",0,0,"948,261",0,0,"965,937",0,0,"977,886",0,0,"982,298",0,0,"987,363",0,0,"992,708",0,0,"985,350",0,0,"989,352",0,0,"996,208",0,0,"1,005,582",0,0,"1,031,369",0,0,"1,055,867"
